,Empid,certificateName,issuingOrganization,issuanceDate,expirationDate,certificate_id,description,approval
24,EMP_25,Python,Buchanan-Burton,1995-02-22,2024-05-04,383eb4b9-579b-4f28-9937-d19649a14f7a,Technology research cup but police little result.,Rejected
25,EMP_26,MongoDB,Roberts-Stanley,2015-11-25,2024-04-15,98db094f-d009-4473-b7ea-37ca11948811,Memory room debate president provide back hope thank.,Approved
26,EMP_27,Figma,Johnson-Armstrong,2020-09-30,2024-04-06,692f2efd-9f8e-4e3b-8d34-86cdf490f97f,Unit board than difference.,Rejected
27,EMP_28,Kotlin,Cooper Ltd,2005-12-14,2024-04-18,5b0fe93f-afb0-4c60-9832-7ddcdb281797,Network include five like central.,Rejected
28,EMP_29,Natural Language Processing (NLP),Pena-Hudson,1978-05-07,2024-04-18,92cc7244-fa40-42fe-8bba-c5b4a78f7df2,Step yeah success allow enter will program.,Rejected
29,EMP_30,JIRA,"Lewis, Hernandez and Brown",2003-09-25,2024-04-24,1c024201-98ab-4c6a-8e51-738f9fbf13f8,Door cell yard kid major TV.,Approved
30,EMP_31,Flask,"Gaines, Quinn and Payne",2023-07-14,2024-05-03,395d47e8-d445-4aff-b166-5d6634c6961d,Mean will here page up Mrs open.,Rejected
31,EMP_32,Express.js,Smith-Pennington,1978-06-25,2024-04-30,e3316518-a533-49fa-b407-1c3130405465,Could executive response must focus event.,Approved
32,EMP_33,JavaScript,"Cox, Fox and Clark",1982-08-29,2024-04-30,82e75d98-ce4b-4c0e-80ca-84907502376c,Ask tonight paper their free future arm.,Approved
33,EMP_34,Project Management Skills,Myers and Sons,2023-12-02,2024-04-20,c0fbc919-8d7f-4f8f-86f5-96f36e16df25,Young understand building protect seven reduce.,Approved
34,EMP_35,Natural Language Processing (NLP),Perry PLC,2018-07-20,2024-04-14,1b75f94d-5508-4d3e-9ee0-fe80c2703480,Because list newspaper personal know accept.,Approved
35,EMP_36,Node.js,Lopez LLC,2009-07-07,2024-04-18,0c2a89c7-231f-4fd3-9554-02232a53c8dd,Open hour art wrong.,Rejected
36,EMP_37,Research Skills,"Schroeder, Hopkins and Nguyen",1999-04-09,2024-04-25,43de021f-df96-49eb-a207-145c9b28521c,Dog southern own leg determine.,Approved
37,EMP_38,Analytical Skills,Walker-Ponce,2009-10-22,2024-04-07,6789d741-f650-4079-a1e7-a75d97501885,Produce stock political so for she role.,Rejected
38,EMP_39,Python,"Krueger, Johnson and Johnson",1988-10-05,2024-05-03,6a3fa21c-632c-4905-8257-7df1b0615648,Per manager keep fact receive street ago.,Approved
39,EMP_40,Swift,Moore-Walker,2017-05-05,2024-04-22,12a05bce-fe8f-4af7-af2f-74d6240f330d,Black blue own serious baby.,Rejected
40,EMP_41,Express.js,"Morales, Mcgrath and Monroe",2016-12-05,2024-04-24,7e8b60c3-de68-4719-b166-0f3d26349b9d,Sometimes information ten present.,Rejected
41,EMP_42,Customer Service Skills,Lee-Wise,2007-07-04,2024-04-21,4a636510-b033-4c7d-b23a-f122b3fc45bf,We friend citizen possible middle leg window law.,Rejected
42,EMP_43,TensorFlow,Sanders-Fuller,2013-03-14,2024-04-19,68ca271b-9fae-4529-aa06-6abddc89515f,Next born control hotel.,Rejected
43,EMP_44,AWS,Bell-Valencia,2013-10-20,2024-04-19,fa99b8ac-fefb-4c59-8215-322c576ce8db,Office during effort wind.,Approved
44,EMP_45,Teamwork and Collaboration,Abbott-Bowman,2011-07-23,2024-04-24,4212b554-4607-416b-a188-0497b33b5a6d,Most seek pick we.,Rejected
45,EMP_46,Research Skills,Martinez and Sons,2004-03-07,2024-04-10,66ef512f-31cb-4a4b-8917-a3f4c1aabcfb,Dark education wear but firm her than.,Rejected
46,EMP_47,Adaptability,"Webb, Hernandez and Powell",1985-10-22,2024-04-09,5e7603ad-5ede-433e-915f-f28f5c69a0e6,Nature answer staff.,Rejected
47,EMP_48,Google Cloud Platform,Morris and Sons,2023-04-28,2024-04-14,f0845fbd-2bdb-4900-9bd6-fed98a64842d,Whom remember produce upon subject six.,Rejected
48,EMP_49,Django,Poole Ltd,2022-06-01,2024-04-17,45a8833f-a080-476f-899c-4b3637d4bbf1,Investment believe find like you hand in decade.,Rejected
49,EMP_50,Scikit-learn,Moore Ltd,1981-04-29,2024-04-12,cf818180-6a83-49f8-901b-9943e790c1fa,Step common cultural.,Rejected
50,EMP_51,Python,Haynes-Brown,1994-10-15,2024-04-23,cded3797-7ac5-45e9-bfbb-56f1ae13c620,Here director once.,Approved
51,EMP_52,Attention to Detail,Paul-George,1999-08-29,2024-05-04,a82bbaf9-daeb-4792-ace2-9be8c2b74fc1,Fast current eat price any reveal sign inside.,Rejected
52,EMP_53,Natural Language Processing (NLP),Nguyen Inc,1996-11-29,2024-05-04,25a3e44b-efee-4e19-9b58-421f1653ebb0,Position else or stop.,Approved
53,EMP_54,Attention to Detail,Serrano-Mitchell,1974-12-10,2024-04-14,2fc83b1e-6e10-47de-a456-373fc14afa19,Difference until against.,Approved
54,EMP_55,PyTorch,Johnson-Nelson,1999-05-08,2024-04-09,0d617d01-a895-4c24-8730-e730be65f7bc,Significant would conference them put affect wear most.,Approved
55,EMP_56,TensorFlow,Copeland LLC,2009-12-02,2024-04-27,655523dc-f14f-4bff-aed8-f3aa52c303ac,Foreign take if allow.,Approved
56,EMP_57,Customer Service Skills,White-Smith,1990-12-08,2024-04-24,d9b403e7-a031-4981-bf3a-d11993f524d0,Quite customer important fish year choose.,Approved
57,EMP_58,Angular,Richardson-Gonzalez,1992-05-30,2024-04-23,f2e60acf-2d31-43e7-a5cf-6588d5a07e10,Whole single question church information unit child young.,Rejected
58,EMP_59,Communication Skills,Valdez-Oneal,1988-01-03,2024-04-12,157ca820-827f-43c5-97d4-748b296f520d,Something office voice modern charge fine entire.,Rejected
59,EMP_60,Communication Skills,Black Group,1982-07-27,2024-04-20,27fdc9b1-7030-47cf-b939-69537ba31d20,Each style run common support.,Rejected
60,EMP_61,Express.js,Sanchez-Martin,1999-02-04,2024-04-29,f7183186-4a7c-4db3-aadd-4552d3e24c68,Cover standard marriage.,Approved
61,EMP_62,Spring Framework,Johnson-Evans,1978-01-06,2024-04-22,956d40fd-c5c9-494a-90c1-899f18d13902,Doctor anyone American upon decide case.,Rejected
62,EMP_63,RESTful APIs,Gutierrez and Sons,1974-01-29,2024-04-28,e3a9b190-6c0a-43cc-a6b6-adc489a84676,Life baby full town human such.,Rejected
63,EMP_64,Teamwork and Collaboration,Ferguson LLC,1998-01-09,2024-04-30,1f335035-10ec-4402-99fa-112e922fa68d,Become mouth her director.,Approved
64,EMP_65,HTML/CSS,"Flores, Ford and Ramirez",2016-02-06,2024-05-03,d634b1b4-1d7f-4f71-b630-301edfb7071a,Reach data bar page.,Approved
65,EMP_66,Creativity and Innovation,"Walker, Wright and Rosario",1971-06-10,2024-04-17,03093925-e85c-4236-8ef3-4ea220687461,Present protect important keep finally century.,Rejected
66,EMP_67,GraphQL,"Gonzales, Baker and West",1974-10-26,2024-04-22,6ea355e0-9847-4fd7-bb59-4fcfddbea9b2,Food poor anything tax.,Rejected
67,EMP_68,HTML/CSS,Smith-Singleton,2010-07-02,2024-04-19,ccbbef66-6bc6-4087-a5d9-d6ed30457242,Approach course mouth fish.,Approved
68,EMP_69,Adobe XD,Cohen-Yates,1986-06-22,2024-04-24,cd9ae9de-355f-4214-bc4e-b567f2d2860a,Side blue threat east consumer down.,Rejected
69,EMP_70,Spring Framework,Harris-Doyle,2008-08-31,2024-04-24,01270371-71b5-43fc-adf8-ed37def43207,Go food anything political already none.,Rejected
70,EMP_71,UI/UX Design Principles,Warren Ltd,2021-09-16,2024-04-15,d3c70cfc-8b92-4a55-a836-ea5076e36f71,Our official with consider down rest Democrat.,Rejected
71,EMP_72,Google Cloud Platform,"Jones, Simon and Nelson",1987-05-01,2024-04-07,56e195ea-cfc2-41d3-921b-17a0d28e1b84,Church artist painting.,Rejected
72,EMP_73,Django,Cole-Carr,1994-08-29,2024-04-18,eb0d9a47-c5cd-43f4-ad46-f6cc9bee64c1,Happen respond decide.,Rejected
73,EMP_74,Technical Proficiency (specific to the employee's field),"Randall, Phillips and Simmons",1992-07-10,2024-04-20,75126e86-a0ef-4d35-9af4-bdb2044b8be3,Tree despite light them.,Rejected
74,EMP_75,Figma,Good-White,2016-03-29,2024-04-25,35b10657-043a-4dc9-9b2c-bc3dc1940d4b,Night stock chair range.,Rejected
75,EMP_76,Firebase,Wall and Sons,2019-05-21,2024-04-28,56580901-86f9-4365-8e65-1b0f6819c12d,Important base player series future there voice health.,Rejected
76,EMP_77,Angular,"Gregory, Williams and Stanley",2007-07-03,2024-04-29,0b86ce85-4be9-4d57-90b9-65b22a4b1e88,Rate consumer world baby.,Rejected
77,EMP_78,Adaptability,Wade-Young,2014-09-01,2024-04-10,42cbac2f-7479-48ad-b629-c08058bcbfda,Front board goal the address including.,Approved
78,EMP_79,Teamwork and Collaboration,Martinez-Davis,2021-04-06,2024-04-21,58470002-e558-4be4-94db-6397912b200e,Eat situation right down suggest night same.,Approved
79,EMP_80,Natural Language Processing (NLP),Garcia Inc,2020-05-10,2024-04-13,7d1f835c-c938-4720-a189-5fb650db5d9b,Nation dream glass middle.,Approved
80,EMP_81,Xcode,Hall-Walsh,1995-01-07,2024-04-27,4e73e8f1-675b-46d3-9b62-38ed844d8a38,Way major price drive candidate again.,Approved
81,EMP_82,PyTorch,Reed-Mcdonald,1986-10-05,2024-04-09,0c22e84f-652e-401e-aaf5-fbea5227c86f,Sit become network political she term.,Rejected
82,EMP_83,Docker,Doyle-Oliver,1982-07-08,2024-04-17,849371a8-eaf6-4e4f-a45a-c2bfcf622560,Professional life budget trade necessary.,Approved
83,EMP_84,Communication Skills,Robinson-Baker,2020-04-24,2024-05-02,607caac5-14c5-476e-ab8e-ee03340910c9,Deal above throw quickly.,Rejected
84,EMP_85,Adobe XD,Kim-Jackson,1992-11-16,2024-04-28,75514946-b55a-477c-9b21-ac6f2e828fac,Two commercial set only yes adult.,Approved
85,EMP_86,Analytical Skills,Hall Inc,1971-10-14,2024-05-04,1e986b68-38d1-4595-96d3-1eb84735cccf,Create federal different address while.,Approved
86,EMP_87,HTML/CSS,Brown-Martinez,1975-04-29,2024-04-10,4e244d86-4cb6-41d1-8d79-e96fb52e9051,Out benefit candidate beyond far let identify.,Approved
87,EMP_88,JavaScript,"Thompson, Ray and Buck",1989-02-25,2024-04-25,f059963a-2f78-4360-8bcf-9c20ceec85fe,Reflect upon inside yard.,Approved
88,EMP_89,Kubernetes,"Ritter, Juarez and Gonzalez",1980-02-22,2024-04-28,ee9baf60-bfd6-41f4-97d6-98233bc26f91,Its house resource skill action modern cut.,Rejected
89,EMP_90,Kubernetes,"Armstrong, Anderson and Chan",2018-08-11,2024-04-19,c8c20efb-f15a-4d70-9d29-c3c007de8b83,Teach teach military pass discuss end something.,Approved
90,EMP_91,Swift,"Knight, Andrews and Terry",2004-11-14,2024-04-19,4b1deef7-dea9-4034-98e7-e1a6885f11a0,Offer option wish very change final.,Rejected
91,EMP_92,RESTful APIs,Johnson Group,1988-04-07,2024-04-11,0bdb4388-6bf4-470a-8f61-535aaf1bfa5d,Especially model teacher guess whole.,Rejected
92,EMP_93,Kubernetes,Weaver PLC,2011-11-17,2024-04-27,c3da12ca-3b4a-4014-847f-940ce2940d51,Factor become eat soon result.,Rejected
93,EMP_94,React.js,"Roberts, Bray and Barton",1991-05-28,2024-05-03,ea0cd0fe-e42e-4bc4-be09-f7f79bf8a402,Any candidate mouth laugh college.,Approved
94,EMP_95,GraphQL,"Ramos, Knapp and Aguilar",2022-01-12,2024-04-27,609d06e5-939d-4565-9cd2-0c0494377a1d,Could would skin after against skill none.,Rejected
95,EMP_96,MySQL,Chapman-Price,2013-07-31,2024-04-26,b8b6e6c4-4ec8-408b-9cad-71d2f9d808be,Factor difference kid make though wait.,Rejected
96,EMP_97,Hibernate,Velez-Brown,1998-05-02,2024-05-03,cc90ebd9-a531-472b-9bc6-625492d4f14b,Ago run nature his public trip reality.,Approved
97,EMP_98,Swift,Warren-Schultz,1974-10-29,2024-04-12,3ab9788b-645f-4554-93d5-ed6c743a96ef,Man choice door on.,Approved
98,EMP_99,TensorFlow,"Richardson, Smith and Hardy",1971-01-08,2024-04-17,a944230d-481c-4c7b-9bda-c6f6cf9fe0cd,Human result white table receive someone hard.,Approved
99,EMP_100,Decision-Making Skills,"Bradford, Williams and Miller",2022-04-24,2024-04-13,dbd79350-6b45-4285-ba3d-9df80b82916b,Left hit bar which.,Rejected
100,EMP_101,Xcode,Jackson-Ramirez,1988-01-26,2024-04-15,ca035f6f-ccf7-4b5f-a741-396df20601e4,Possible apply assume improve the stuff ready.,Rejected
101,EMP_102,Android Studio,Sanders LLC,1981-02-01,2024-04-20,912df436-1f05-40f6-9e23-3f916c38b323,People outside nearly approach citizen minute middle.,Approved
102,EMP_103,Express.js,Reyes-Li,2016-01-14,2024-04-22,ac5fa72f-1b87-4285-a706-4832b5c38bae,Total her ever game.,Approved
103,EMP_104,Django,"Wagner, Cantu and Gamble",2009-11-17,2024-04-18,395f2255-5dd5-4c9b-a5f5-0ac860e41680,Specific even political carry what theory.,Approved
104,EMP_105,Spring Framework,"Santos, Green and Hamilton",1987-02-22,2024-04-07,112974ad-692d-4b57-afb1-603856327fea,Politics job stop dinner occur responsibility alone.,Rejected
105,EMP_106,Scikit-learn,Taylor Ltd,2005-06-14,2024-04-26,57083abb-fd16-4d1d-9cb1-a727b9203c96,Probably born movement.,Approved
106,EMP_107,Swift,Ellis-Williams,2022-02-08,2024-04-14,b964bc91-3f86-4fdb-b6ea-54daaa2f3f2a,Seven the record most continue.,Approved
107,EMP_108,Docker,Dennis LLC,1998-02-07,2024-04-17,9cd04d85-8012-429c-b484-c23d08381141,Traditional voice assume personal subject.,Rejected
108,EMP_109,RESTful APIs,"Graham, Ray and Mckinney",1974-12-05,2024-04-08,7e680b67-1ec9-4831-864b-1c0aca0f4054,Perform quality play into.,Rejected
109,EMP_110,Azure,Molina-Butler,1997-08-11,2024-04-15,ca336a7b-eccd-4e07-a58d-201ff2653bf1,Always top same worker.,Approved
110,EMP_111,Time Management,Allison-Bird,1994-12-19,2024-04-07,3effed20-2741-4b93-9267-a5fee5057585,It south break data public former across.,Approved
111,EMP_112,Python,Bond-Santana,2005-07-20,2024-04-13,24b24d47-b61f-4765-a68d-47a79c5d5f62,Key instead return.,Approved
112,EMP_113,React.js,Rodriguez Ltd,1991-09-10,2024-04-26,202cee6e-5c29-4f25-a9be-1035efc095d7,Upon official college.,Approved
113,EMP_114,Node.js,Barker PLC,1992-05-18,2024-04-09,fcc7ffaa-94bb-4c07-bfa2-9f20baea8bfc,Pull interest reflect out.,Approved
114,EMP_115,Azure,Ellis-Lee,2010-04-03,2024-04-13,3ee9179f-8591-4a08-a6c0-8b83a5021692,Clearly push huge project.,Rejected
115,EMP_116,AWS,"Carson, Adams and Blair",1981-09-20,2024-04-29,cd6bcd17-d091-4965-ab63-899570db4bd2,Matter teacher goal reach sound hope people road.,Rejected
116,EMP_117,Adobe XD,Hurley Group,1989-11-28,2024-04-09,dbbc8f7c-1095-481f-bb1f-082167d2c57b,Though program he.,Approved
117,EMP_118,SQL,Moore and Sons,1988-06-27,2024-04-22,dce0011a-1129-4be8-9c60-e12ca2efb47d,Guy near hit do may ask.,Rejected
118,EMP_119,Networking Abilities,Walker-Pennington,1991-05-15,2024-04-17,b752d698-66ae-4637-a73f-7474d3841f82,Reduce heart later someone listen real enough itself.,Approved
119,EMP_120,Docker,Carter LLC,2012-04-08,2024-04-27,ccb2a2dd-2099-4cdf-bc66-55bfb3158e31,Record factor scene election step seven range.,Approved
120,EMP_121,Teamwork and Collaboration,Evans Inc,1981-06-07,2024-04-28,203e9c78-8bf4-4dcf-94ae-e002c97338c2,Catch contain bad magazine building hour situation.,Approved
121,EMP_122,Hibernate,Davis Inc,2017-05-06,2024-04-13,89ea1e71-791b-4adf-ba96-7cdfadc5a8d2,Sing business whole task discuss be unit exist.,Approved
122,EMP_123,Technical Proficiency (specific to the employee's field),Romero and Sons,1973-11-11,2024-04-13,90b11f8e-0338-41f1-b154-14ead2a2fd7f,Full parent business process.,Rejected
123,EMP_124,Adaptability,Weber-Johnson,1982-03-26,2024-04-08,b2d1a038-ab43-4894-95a3-217dcd5563c8,Story method break military free.,Approved
124,EMP_125,Adaptability,Thompson-Sutton,2011-12-22,2024-04-29,b7b5b329-8586-4fe5-a2e6-3a46e802d454,Yard century fall wish.,Rejected
125,EMP_126,Customer Service Skills,Coleman Group,2018-03-11,2024-04-07,1b8afeee-b08f-4555-9f34-2e7eb28ad1cf,Hope hair be glass.,Rejected
126,EMP_127,GraphQL,Brown-Hoffman,1977-10-04,2024-04-25,1b513a83-56c1-4be3-8b76-b54844140d77,Office week then knowledge change.,Approved
127,EMP_128,MySQL,Boone-Riggs,1991-10-22,2024-04-19,250172bf-dc70-4d63-82d6-7f2c19711828,Performance soon use Mr low.,Rejected
128,EMP_129,Decision-Making Skills,"Dunn, Swanson and Nolan",2019-11-05,2024-05-04,c20eba58-63b4-4eba-925c-dcc0084a647a,Strong outside let ask minute success culture.,Approved
129,EMP_130,Jenkins,Huang-Jones,1993-07-08,2024-04-22,e8877974-f06d-4cff-bce1-12310847869c,Memory answer on long build push.,Approved
130,EMP_131,Kubernetes,Anderson Inc,1972-12-02,2024-04-16,64842df8-cf77-475b-b565-032a62c29a17,Very recognize amount popular sing Congress.,Approved
131,EMP_132,MySQL,Parsons-Franco,2022-11-05,2024-04-09,3a3b442e-1d87-4254-b99f-815387184ab0,Seem dark health view.,Rejected
132,EMP_133,Django,"Flores, Duncan and Alvarez",2006-03-14,2024-04-29,ffb17c7f-44cb-4ed1-8c0a-689416eadbf3,Sure some exactly person might.,Approved
133,EMP_134,Java,Henson-Hernandez,1989-08-30,2024-04-28,bf0eee12-9edb-4f23-b94f-4bea53a8da38,Song threat program.,Rejected
134,EMP_135,Analytical Skills,"Brown, Meza and Davis",1986-12-15,2024-04-26,385a213e-c8e1-4cb4-85e3-a615992ffaaf,Single beautiful decide behind third turn.,Approved
135,EMP_136,Azure,Thomas LLC,2000-04-24,2024-04-13,ebd1da9c-a49b-4734-8f63-bdb2590f2a9c,Then field stay among fish against.,Rejected
136,EMP_137,Technical Proficiency (specific to the employee's field),Jacobs-Cunningham,1988-01-11,2024-04-15,d2d34eda-31c5-418d-9519-dc8b220ff077,Effect weight between top student.,Rejected
137,EMP_138,Hibernate,Lane and Sons,1999-05-11,2024-04-13,b9c9524f-9902-47b3-b398-89e986f32c38,Cover TV usually task rise.,Approved
138,EMP_139,Xcode,Grant-Mcdonald,1971-08-20,2024-04-29,89ad9fbd-6c50-44ce-9930-a1df9f791b63,Understand part drop rock check.,Rejected
139,EMP_140,Git,Coleman Group,2019-09-29,2024-04-15,0b7ac3bb-ebd9-409e-a6c7-debb247511a1,Car station both design good.,Approved
140,EMP_141,SQL,Palmer-Blackburn,1991-01-28,2024-04-16,56d3a470-d007-4e16-a8a3-a1399e964893,World bit explain home site environment.,Approved
141,EMP_142,Angular,Jenkins-Mcclain,2023-07-26,2024-04-26,3aa4a86e-b360-4848-bf83-97893d049b84,Behind down billion event like serious.,Rejected
142,EMP_143,Flask,Johnson-Atkins,2015-10-29,2024-04-24,a34e689a-9251-4e1a-abef-54b371d3951f,Once treat writer according although growth.,Rejected
143,EMP_144,AWS,"Turner, Gaines and Ramirez",1987-02-25,2024-04-14,ecfaaa2e-143e-4858-bc96-cab7b3bef280,Soon Mr news draw enjoy.,Approved
144,EMP_145,Customer Service Skills,"Davis, Miranda and Mitchell",2020-10-02,2024-05-01,7ee93841-9fff-4689-ba27-89237a4cb8b8,Conference between out option.,Rejected
145,EMP_146,Decision-Making Skills,Johnson Group,1973-05-18,2024-04-13,ad4a6160-6016-4380-99a5-c45985ebb853,Serious test daughter reduce.,Rejected
146,EMP_147,Azure,Wade-Frazier,2008-09-03,2024-05-03,6d4f11cc-9d2e-4046-9f4e-17623487dffe,Kitchen kitchen imagine administration upon.,Approved
147,EMP_148,JavaScript,Gibson-Gilbert,2005-10-25,2024-04-13,bf5a4c97-f97c-4b9c-95ba-c9c75f572a09,Point this need realize return put.,Rejected
148,EMP_149,Creativity and Innovation,Campbell-Payne,1989-08-17,2024-04-22,59e213af-24ff-4de0-9624-6d0d1fabdf45,Discussion power might if member.,Approved
149,EMP_150,Hibernate,Johnson and Sons,2008-01-29,2024-04-20,a38ddafc-0671-4725-92a3-e7d8102eded3,Hope federal find trouble society happy to however.,Approved
150,EMP_151,Creativity and Innovation,Hernandez-Holland,1997-04-21,2024-04-30,aeb0232d-5bf2-4ada-a46d-05bbcae5a038,Early do discover behavior inside social bit.,Rejected
151,EMP_152,AWS,"Nicholson, Mcbride and Cooper",2012-02-23,2024-04-06,5eff0017-8565-4f12-9839-93def654d102,Else watch woman capital president recognize them.,Approved
152,EMP_153,Adaptability,Norris Inc,2016-10-08,2024-05-01,7a0af4f2-c501-4766-81fc-f43fdcd0fa2b,Season worker sort.,Rejected
153,EMP_154,Express.js,Pham-Shaw,1983-01-16,2024-04-24,333ba868-e0c7-4aa0-be92-5182303ba588,Instead interesting box hospital right.,Approved
154,EMP_155,Django,"Clark, Spears and George",2003-07-04,2024-04-23,c1e39dfb-5c40-488d-815c-b74e7476363b,Quickly find discuss bill manage return.,Rejected
155,EMP_156,Problem-Solving Skills,Kennedy Group,2020-01-05,2024-04-19,6881d9b9-4d29-4349-ace6-6109834fe65c,Son activity only sit.,Approved
156,EMP_157,HTML/CSS,"Perez, Robinson and Cole",1981-05-27,2024-04-11,b5b5c574-9ee6-484a-89a5-9e44a2725e15,Treatment positive culture reason seem treatment fill.,Approved
157,EMP_158,MongoDB,Gonzalez Group,2010-08-22,2024-04-12,74525ea9-675b-49b3-946d-4efdcc863b8f,Near daughter news analysis head deal.,Approved
158,EMP_159,Flask,"Moore, Trujillo and Acevedo",2022-02-01,2024-04-27,dffcb27f-2714-439b-8e0c-11f51da144c8,Ten record never later enjoy two particular.,Approved
159,EMP_160,Docker,Newman-Johnson,2018-05-31,2024-04-21,3c5de765-0b50-421b-98fd-325b2e4ec575,Recognize American kind like around agent.,Approved
160,EMP_161,Decision-Making Skills,Adams-Zimmerman,2004-06-07,2024-04-26,a3147b0d-5fbf-43a9-9264-a99a521f9018,Mission democratic state adult.,Rejected
161,EMP_162,AWS,"Vasquez, Gay and Gilmore",1970-06-20,2024-04-26,d71c9c0e-2d5c-411c-9fc1-eeec3e23baec,Do thank law among system.,Approved
162,EMP_163,Scikit-learn,Hall-Martin,1991-12-11,2024-04-19,c7840db6-4821-433f-89b4-f19179c3e86e,Security quality their.,Approved
163,EMP_164,SQL,Jensen-Simmons,1980-08-10,2024-04-15,32e00d78-5727-400f-ac92-54575ca9faad,Time analysis big later culture late though everything.,Rejected
164,EMP_165,Angular,"Stone, Lewis and Bennett",1994-04-02,2024-04-09,5150fb78-e111-4cab-b371-71265c7be6a8,Interest again allow ball western traditional.,Rejected
165,EMP_166,Adobe XD,Morris Inc,2007-04-05,2024-04-07,59e07d97-ae2b-417c-b0fe-5730b8579d37,Become sit science remain how turn their.,Approved
166,EMP_167,Android Studio,Arias-Turner,2021-11-21,2024-04-07,96e43003-69e2-4932-8807-17837c43c8fc,Theory recognize vote late pick real benefit.,Rejected
167,EMP_168,Decision-Making Skills,"Perez, Bailey and Fletcher",1978-09-20,2024-04-06,50fb0daa-230f-44d6-8b1a-cb1857b6d111,Lay very instead.,Rejected
168,EMP_169,Java,"Robertson, Donaldson and Morgan",2024-01-12,2024-04-26,d46b4e55-32fa-4408-bba5-370e87d5b8e9,Industry control might executive.,Approved
